name,price,url,stone_type,stone_shape,stone_clarity,stone_color,stone_carat_weight,metal_type,metal_color,gold_karat,ring_size,category,source
Open-End Diamond Band,1270.0,https://www.rarecarat.com/wedding-ring/53-Open-End-Diamond-Band/25410,Diamond,,SI1,F-G,0.19,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Wave Prong Pavé Band,1030.0,https://www.rarecarat.com/wedding-ring/56-Wave-Prong-Pavé-Band/29703,Diamond,,SI1,G-H,0.49,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Unity Prong 7-Stone Band (.50 ct. tw.),1600.0,https://www.rarecarat.com/wedding-ring/56-Unity-Prong-7-Stone-Band-(.50-ct.-tw.)/42345,Diamond,,SI1,G-H,0.49,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Chroma Tsavorite Eternity Band,1290.0,https://www.rarecarat.com/wedding-ring/56-Chroma-Tsavorite-Eternity-Band/42476,Diamond,,,,,White Gold,,14K,3.0 to 9.0,Ring,rarecarat
Whitely Sapphire Twist Band,1120.0,https://www.rarecarat.com/wedding-ring/53-Whitely-Sapphire-Twist-Band/22877,Diamond,,,,,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Chromara Eternity Band (4.50 ct. tw.),2020.0,https://www.rarecarat.com/wedding-ring/56-Chromara-Eternity-Band-(4.50-ct.-tw.)/41463,Diamond,,,,,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Bellora Classic Pavé Band,1280.0,https://www.rarecarat.com/wedding-ring/55-Bellora-Classic-Pavé-Band/36082,Diamond,,SI1,G-H,0.31,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
EmeraId Shared Prong Eternity Ring,3690.0,https://www.rarecarat.com/wedding-ring/55-EmeraId-Shared-Prong-Eternity-Ring/35542,Diamond,,,,,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Classic Sapphire Eternity Band,4300.0,https://www.rarecarat.com/wedding-ring/55-Classic-Sapphire-Eternity-Band/35694,Diamond,,,,,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Dorza Twisted Pavé Band,1160.0,https://www.rarecarat.com/wedding-ring/59-Dorza-Twisted-Pavé-Band/41622,Diamond,,SI1,G-H,0.25,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Alejandra Baguette Band,1230.0,https://www.rarecarat.com/wedding-ring/53-Alejandra-Baguette-Band/30297,Diamond,,SI1,F-G,0.36,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Signature Hearts & Arrows Pavé Band (.16ct. tw.),1180.0,https://www.rarecarat.com/wedding-ring/57-Signature-Hearts-&-Arrows-Pavé-Band-(.16ct.-tw.)/34061,Diamond,,VS2,F,0.16,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Kira Triple Pave Band,1830.0,https://www.rarecarat.com/wedding-ring/170-Kira-Triple-Pave-Band/22084,Diamond,,SI1,G,0.33,White Gold,,14K,3.0 to 12.0,Ring,rarecarat
Zora Alternating Marquise & Round Diamond Open Band,1250.0,https://www.rarecarat.com/wedding-ring/53-Zora-Alternating-Marquise-&-Round-Diamond-Open-Band/34645,Diamond,,SI1,F-G,0.25,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Betty Marquise Diamond Band,1270.0,https://www.rarecarat.com/wedding-ring/53-Betty-Marquise-Diamond-Band/22337,Diamond,,SI1,F-G,0.36,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Cascade Diamond Band (.50 ct. tw.),1140.0,https://www.rarecarat.com/wedding-ring/56-Cascade-Diamond-Band-(.50-ct.-tw.)/31409,Diamond,,SI1,G-H,0.52,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Classic Round Diamond Eternity Band (2.70ct. tw.),6220.0,https://www.rarecarat.com/wedding-ring/55-Classic-Round-Diamond-Eternity-Band-(2.70ct.-tw.)/28804,Diamond,,SI1,G-H,2.7,White Gold,,14K,3.0 to 9.0,Ring,rarecarat
Lottie Diamond Open Band,1250.0,https://www.rarecarat.com/wedding-ring/53-Lottie-Diamond-Open-Band/34623,Diamond,,SI1,F-G,0.25,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Classic Round Diamond Eternity Band (2.00ct. tw.),4220.0,https://www.rarecarat.com/wedding-ring/55-Classic-Round-Diamond-Eternity-Band-(2.00ct.-tw.)/28823,Diamond,,SI1,G-H,2,White Gold,,14K,3.0 to 9.0,Ring,rarecarat
Emerald-Cut Bezel Diamond Half Eternity Ring (1.50ct. tw.),5600.0,https://www.rarecarat.com/wedding-ring/55-Emerald-Cut-Bezel-Diamond-Half-Eternity-Ring-(1.50ct.-tw.)/34867,Diamond,,VS1,G-H,1.5,White Gold,,14K,3.0 to 9.0,Ring,rarecarat
Laila Pave Band,1380.0,https://www.rarecarat.com/wedding-ring/170-Laila-Pave-Band/21857,Diamond,,SI1,G,0.43,White Gold,,14K,3.0 to 12.0,Ring,rarecarat
Princess-Cut Pavé Diamond Band (.50 ct. tw.),1310.0,https://www.rarecarat.com/wedding-ring/501-Princess-Cut-Pavé-Diamond-Band-(.50-ct.-tw.)/39069,Diamond,,SI2,H-I,0.5,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Linda Twisted Pavé Band,1280.0,https://www.rarecarat.com/wedding-ring/53-Linda-Twisted-Pavé-Band/22421,Diamond,,SI1,F-G,0.17,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Oasis Filigree Pavé Curved Band,1160.0,https://www.rarecarat.com/wedding-ring/56-Oasis-Filigree-Pavé-Curved-Band/34758,Diamond,,SI1,G-H,0.16,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Bellora Chevron Pavé Band,1170.0,https://www.rarecarat.com/wedding-ring/55-Bellora-Chevron-Pavé-Band/36073,Diamond,,SI1,G-H,0.23,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Shelby Princess Diamond Band,1310.0,https://www.rarecarat.com/wedding-ring/53-Shelby-Princess-Diamond-Band/24218,Diamond,,SI1,F-G,0.56,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Eileen Round Channel-Set Band,1330.0,https://www.rarecarat.com/wedding-ring/56-Eileen-Round-Channel-Set-Band/31461,Diamond,,SI1,G-H,0.53,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Bellora Knife-Edge Pavé Band,1760.0,https://www.rarecarat.com/wedding-ring/55-Bellora-Knife-Edge-Pavé-Band/35902,Diamond,,SI1,G-H,0.38,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Emerald-Cut Bezel Diamond Half Eternity Ring (2ct. tw.),7830.0,https://www.rarecarat.com/wedding-ring/55-Emerald-Cut-Bezel-Diamond-Half-Eternity-Ring-(2ct.-tw.)/34842,Diamond,,VS1,G-H,2,White Gold,,14K,3.0 to 9.0,Ring,rarecarat
Classic Ruby Eternity Band,4620.0,https://www.rarecarat.com/wedding-ring/55-Classic-Ruby-Eternity-Band/35652,Diamond,,,,,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Gianna French Pave Band,1240.0,https://www.rarecarat.com/wedding-ring/170-Gianna-French-Pave-Band/21364,Diamond,,SI1,G,0.29,White Gold,,14K,3.0 to 12.0,Ring,rarecarat
Lucia XO Diamond Band,1130.0,https://www.rarecarat.com/wedding-ring/54-Lucia-XO-Diamond-Band/25100,Diamond,,VS1,G-H,0.24,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Petite Round and Marquise Diamond Band (1/3 ct. tw.),1280.0,https://www.rarecarat.com/wedding-ring/53-Petite-Round-and-Marquise-Diamond-Band-(1-3-ct.-tw.)/25348,Diamond,,SI1,F-G,0.31,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Zahara Graduated Diamond Open Band,1430.0,https://www.rarecarat.com/wedding-ring/53-Zahara-Graduated-Diamond-Open-Band/34627,Diamond,,SI1,F-G,0.34,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Bellora Marquise and Round Diamond Band,2050.0,https://www.rarecarat.com/wedding-ring/55-Bellora-Marquise-and-Round-Diamond-Band/36057,Diamond,,SI1,G-H,0.52,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Flush Set Round Diamond Band,2860.0,https://www.rarecarat.com/wedding-ring/57-Flush-Set-Round-Diamond-Band/32631,Diamond,,SI2,G-H,0.55,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Ouvre Clustered Round Open Band,1290.0,https://www.rarecarat.com/wedding-ring/59-Ouvre-Clustered-Round-Open-Band/41641,Diamond,,SI1,G-H,0.33,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Simone Diamond V-Band,1920.0,https://www.rarecarat.com/wedding-ring/53-Simone-Diamond-V-Band/24957,Diamond,,SI1,F-G,0.8,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Dual Harmony Ruby and Diamond Eternity Band,1970.0,https://www.rarecarat.com/wedding-ring/55-Dual-Harmony-Ruby-and-Diamond-Eternity-Band/35609,Diamond,,SI1,G-H,0.21,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Esmeralda Pave Band,1660.0,https://www.rarecarat.com/wedding-ring/170-Esmeralda-Pave-Band/20679,Diamond,,SI1,G,0.44,White Gold,,14K,3.0 to 12.0,Ring,rarecarat
Chroma Sapphire Eternity Band,1200.0,https://www.rarecarat.com/wedding-ring/56-Chroma-Sapphire-Eternity-Band/42522,Diamond,,,,,White Gold,,14K,3.0 to 9.0,Ring,rarecarat
Emerald-Cut Bezel Diamond Half Eternity Ring (2.4ct. tw.),9290.0,https://www.rarecarat.com/wedding-ring/55-Emerald-Cut-Bezel-Diamond-Half-Eternity-Ring-(2.4ct.-tw.)/34868,Diamond,,VS1,G-H,2.4,White Gold,,14K,3.0 to 9.0,Ring,rarecarat
Round and Marquise Diamond Band (1/2 ct. tw.),1580.0,https://www.rarecarat.com/wedding-ring/53-Round-and-Marquise-Diamond-Band-(1-2-ct.-tw.)/25355,Diamond,,SI1,F-G,0.47,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Sapphire and Diamond Pavé Eternity Band,2110.0,https://www.rarecarat.com/wedding-ring/55-Sapphire-and-Diamond-Pavé-Eternity-Band/35631,Diamond,,SI1,G-H,0.32,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Classic Five-Stone Round Diamond Band (1.25ct. tw.),3980.0,https://www.rarecarat.com/wedding-ring/55-Classic-Five-Stone-Round-Diamond-Band-(1.25ct.-tw.)/31316,Diamond,,SI1,G-H,1.25,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Blythe Pear And Round Diamond Open Band,1490.0,https://www.rarecarat.com/wedding-ring/53-Blythe-Pear-And-Round-Diamond-Open-Band/34635,Diamond,,SI1,F-G,0.38,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Ruby Pavé Eternity Band,1700.0,https://www.rarecarat.com/wedding-ring/55-Ruby-Pavé-Eternity-Band/35636,Diamond,,,,,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Sherry Princess Channel-Set Band,1800.0,https://www.rarecarat.com/wedding-ring/56-Sherry-Princess-Channel-Set-Band/31462,Diamond,,SI1,G-H,0.73,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Cortina Wide Band (3.5mm),1240.0,https://www.rarecarat.com/wedding-ring/53-Cortina-Wide-Band-(3.5mm)/41744,Diamond,,,,,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Ruby and Diamond Bezel-Set Eternity Ring,4640.0,https://www.rarecarat.com/wedding-ring/55-Ruby-and-Diamond-Bezel-Set-Eternity-Ring/35526,Diamond,,SI1,G-H,0.8,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Karen Knife-Edge Pavé Band,1340.0,https://www.rarecarat.com/wedding-ring/56-Karen-Knife-Edge-Pavé-Band/28734,Diamond,,SI1,G-H,0.4,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Bellamy Marquise And Round  Bezel Open Band,1410.0,https://www.rarecarat.com/wedding-ring/53-Bellamy-Marquise-And-Round--Bezel-Open-Band/34618,Diamond,,SI1,F-G,0.34,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Almita Marquise And Round Diamond Band,1360.0,https://www.rarecarat.com/wedding-ring/59-Almita-Marquise-And-Round-Diamond-Band/34424,Diamond,,SI1,G-H,0.4,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Ruby and Diamond Pavé Eternity Band,1970.0,https://www.rarecarat.com/wedding-ring/55-Ruby-and-Diamond-Pavé-Eternity-Band/35644,Diamond,,SI1,G-H,0.21,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Zoe Pavé Diamond Chevron Band,1270.0,https://www.rarecarat.com/wedding-ring/53-Zoe-Pavé-Diamond-Chevron-Band/22344,Diamond,,SI1,F-G,0.21,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Diamond Crossover Band,1570.0,https://www.rarecarat.com/wedding-ring/53-Diamond-Crossover-Band/25403,Diamond,,SI1,F-G,0.26,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Kensie Hand-Engraved Diamond Band,1510.0,https://www.rarecarat.com/wedding-ring/53-Kensie-Hand-Engraved-Diamond-Band/28435,Diamond,,SI1,F-G,0.17,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Zora Alternating Pear & Round Diamond Open Band,1310.0,https://www.rarecarat.com/wedding-ring/53-Zora-Alternating-Pear-&-Round-Diamond-Open-Band/34614,Diamond,,SI1,F-G,0.3,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Bellora Emerald-Cut Bezel Band,3250.0,https://www.rarecarat.com/wedding-ring/55-Bellora-Emerald-Cut-Bezel-Band/36090,Diamond,,SI1,G-H,0.9,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Bellora Oval Diamond Bezel Band,3730.0,https://www.rarecarat.com/wedding-ring/55-Bellora-Oval-Diamond-Bezel-Band/35906,Diamond,,SI1,G-H,1.05,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Cole Round And Marquise Diamond Open Band,1410.0,https://www.rarecarat.com/wedding-ring/59-Cole-Round-And-Marquise-Diamond-Open-Band-/36457,Diamond,,SI1,G-H,0.5,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Ouvre Layered Open Band,1390.0,https://www.rarecarat.com/wedding-ring/59-Ouvre-Layered-Open-Band/41620,Diamond,,SI1,G-H,0.33,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Bellora Marquise Diamond Bezel Band,2650.0,https://www.rarecarat.com/wedding-ring/55-Bellora-Marquise-Diamond-Bezel-Band/36103,Diamond,,SI1,G-H,0.56,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Melani Diamond Wedding Band,1170.0,https://www.rarecarat.com/wedding-ring/53-Melani-Diamond-Wedding-Band/22427,Diamond,,SI1,F-G,0.18,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
East-West Marquise Diamond Bezel Band,2740.0,https://www.rarecarat.com/wedding-ring/57-East-West-Marquise-Diamond-Bezel-Band/32504,Diamond,,SI2,G-H,0.7,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Rochelle Triple Row Diamond Band,2430.0,https://www.rarecarat.com/wedding-ring/56-Rochelle-Triple-Row-Diamond-Band/28721,Diamond,,SI1,G-H,0.64,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
High-Polished Crossover Band,1080.0,https://www.rarecarat.com/wedding-ring/53-High-Polished-Crossover-Band/25463,Diamond,,,,,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Pia Diamond Band,1320.0,https://www.rarecarat.com/wedding-ring/54-Pia-Diamond-Band/25130,Diamond,,VS1,G-H,0.32,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Tia Baguette And Round Chevron Band,1410.0,https://www.rarecarat.com/wedding-ring/54-Tia-Baguette-And-Round-Chevron-Band/34559,Diamond,,VS1,G-H,0.3,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Signature Hearts & Arrows Pavé Band (1.00ct. tw.),3760.0,https://www.rarecarat.com/wedding-ring/57-Signature-Hearts-&-Arrows-Pavé-Band-(1.00ct.-tw.)/34046,Diamond,,VS2,F,1,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Presley Twist Pave Diamond Band,1460.0,https://www.rarecarat.com/wedding-ring/53-Presley-Twist-Pave-Diamond-Band/24243,Diamond,,SI1,F-G,0.25,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Flush Set Oval Diamond Band,3460.0,https://www.rarecarat.com/wedding-ring/57-Flush-Set-Oval-Diamond-Band/32634,Diamond,,SI2,G-H,0.75,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Signature Hearts & Arrows Pavé Band (3/4ct. tw.),2690.0,https://www.rarecarat.com/wedding-ring/57-Signature-Hearts-&-Arrows-Pavé-Band-(3-4ct.-tw.)/34038,Diamond,,VS2,F,0.75,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Bliss Grand Shared Prong Diamond Band,1470.0,https://www.rarecarat.com/wedding-ring/53-Bliss-Grand-Shared-Prong-Diamond-Band/22316,Diamond,,SI1,F-G,0.55,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Signature Hearts & Arrows Shared Prong Band (1.00ct. tw.),3620.0,https://www.rarecarat.com/wedding-ring/57-Signature-Hearts-&-Arrows-Shared-Prong-Band-(1.00ct.-tw.)/34087,Diamond,,VS2,F,1,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Clover Pear And Round  Bezel Open Band,1410.0,https://www.rarecarat.com/wedding-ring/53-Clover-Pear-And-Round--Bezel-Open-Band/34640,Diamond,,SI1,F-G,0.35,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Tradition Pavé Band (1/4 ct. tw.),1230.0,https://www.rarecarat.com/wedding-ring/57-Tradition-Pavé-Band-(1-4-ct.-tw.)/32602,Diamond,,SI1,G-H,0.25,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Aurelia Station-Set Pavé Band,1410.0,https://www.rarecarat.com/wedding-ring/56-Aurelia-Station-Set-Pavé-Band/34820,Diamond,,SI1,G-H,0.4,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Carmel Band,1080.0,https://www.rarecarat.com/wedding-ring/182-Carmel-Band/4747,Diamond,Round,SI1-SI2,G-H,0.05,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Bezel Set Round Diamond Eternity Ring (1.00ct. tw.),3520.0,https://www.rarecarat.com/wedding-ring/55-Bezel-Set-Round-Diamond-Eternity-Ring-(1.00ct.-tw.)/28948,Diamond,,SI1,G-H,1.08,White Gold,,14K,3.0 to 9.0,Ring,rarecarat
Ivana Triple Row Diamond Band,1340.0,https://www.rarecarat.com/wedding-ring/56-Ivana-Triple-Row-Diamond-Band/29767,Diamond,,SI1,G-H,0.33,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Graduated Diamond Double V-Band,1840.0,https://www.rarecarat.com/wedding-ring/53-Graduated-Diamond-Double-V-Band/25456,Diamond,,SI1,F-G,0.49,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Noelle Channel-Set Princess-Cut Band,1630.0,https://www.rarecarat.com/wedding-ring/170-Noelle-Channel-Set-Princess-Cut-Band/21888,Diamond,,SI1,G,0.57,White Gold,,14K,3.0 to 12.0,Ring,rarecarat
Classic Oval EmeraId and Diamond Eternity Ring,10040.0,https://www.rarecarat.com/wedding-ring/55-Classic-Oval-EmeraId-and-Diamond-Eternity-Ring/35673,Diamond,,SI1,G-H,1.5,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Lyric Baguette Diamond Chevron Band,2400.0,https://www.rarecarat.com/wedding-ring/54-Lyric-Baguette-Diamond-Chevron-Band/34538,Diamond,,VS1,G-H,0.46,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Ruby Bezel Eternity Ring,2910.0,https://www.rarecarat.com/wedding-ring/55-Ruby-Bezel-Eternity-Ring/35490,Diamond,,,,,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Classic Oval Sapphire and Diamond Eternity Ring,7510.0,https://www.rarecarat.com/wedding-ring/55-Classic-Oval-Sapphire-and-Diamond-Eternity-Ring/35600,Diamond,,SI1,G-H,1.5,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Classic Sapphire and Diamond Eternity Band,6250.0,https://www.rarecarat.com/wedding-ring/55-Classic-Sapphire-and-Diamond-Eternity-Band/35517,Diamond,,SI1,G-H,1,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
East-West Emerald-Cut Diamond Bezel Band,2740.0,https://www.rarecarat.com/wedding-ring/57-East-West-Emerald-Cut-Diamond-Bezel-Band/32498,Diamond,,SI2,G-H,0.7,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Curved Gallery Eight-Stone Round Diamond Band (2.00ct. tw.),5870.0,https://www.rarecarat.com/wedding-ring/55-Curved-Gallery-Eight-Stone-Round-Diamond-Band-(2.00ct.-tw.)/29368,Diamond,,SI1,G-H,2,White Gold,,14K,3.0 to 9.0,Ring,rarecarat
Flush Set Emerald-Cut Diamond Band,5410.0,https://www.rarecarat.com/wedding-ring/57-Flush-Set-Emerald-Cut-Diamond-Band/32637,Diamond,,SI2,G-H,1.25,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Signature Hearts & Arrows Shared Prong Band (1/2ct. tw.),2020.0,https://www.rarecarat.com/wedding-ring/57-Signature-Hearts-&-Arrows-Shared-Prong-Band-(1-2ct.-tw.)/34091,Diamond,,VS2,F,0.5,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Skyler Rolled Pavé Band,2930.0,https://www.rarecarat.com/wedding-ring/170-Skyler-Rolled-Pavé-Band/31690,Diamond,,SI1,G,0.82,White Gold,,14K,3.0 to 12.0,Ring,rarecarat
EmeraId and Diamond Bezel-Set Eternity Ring,5180.0,https://www.rarecarat.com/wedding-ring/55-EmeraId-and-Diamond-Bezel-Set-Eternity-Ring/35566,Diamond,,SI1,G-H,0.8,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Classic Round Diamond Eternity Band (3.20ct. tw.),8740.0,https://www.rarecarat.com/wedding-ring/55-Classic-Round-Diamond-Eternity-Band-(3.20ct.-tw.)/28818,Diamond,,SI1,G-H,3.2,White Gold,,14K,3.0 to 9.0,Ring,rarecarat
Kinsey Band,3170.0,https://www.rarecarat.com/wedding-ring/182-Kinsey-Band/4294,Diamond,Round,SI1-SI2,G-H,1,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Classic Ruby and Diamond Eternity Band,6340.0,https://www.rarecarat.com/wedding-ring/55-Classic-Ruby-and-Diamond-Eternity-Band/35683,Diamond,,SI1,G-H,1,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Agatha Braided Pavé Diamond Wedding Band,1150.0,https://www.rarecarat.com/wedding-ring/182-Agatha-Braided-Pavé-Diamond-Wedding-Band/7269,Diamond,Round,SI1-SI2,G-H,0.1,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Catalina Pave Band,1250.0,https://www.rarecarat.com/wedding-ring/170-Catalina-Pave-Band/22176,Diamond,,SI1,G,0.3,White Gold,,14K,3.0 to 12.0,Ring,rarecarat
Quinley Graduated Milgrain Band,1300.0,https://www.rarecarat.com/wedding-ring/54-Quinley-Graduated-Milgrain-Band/29617,Diamond,,VS1,G-H,0.2,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Petite Marquise Diamond Band (1/3 ct. tw.),1370.0,https://www.rarecarat.com/wedding-ring/53-Petite-Marquise-Diamond-Band-(1-3-ct.-tw.)/25380,Diamond,,SI1,F-G,0.36,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Lovi XO Diamond Band,1210.0,https://www.rarecarat.com/wedding-ring/54-Lovi-XO-Diamond-Band/25086,Diamond,,VS1,G-H,0.33,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Diamond and Ruby Love Ring,1930.0,https://www.rarecarat.com/wedding-ring/54-Diamond-and-Ruby-Love-Ring/35481,Diamond,,VS1,G-H,0.3,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Annabelle Pave Band,2140.0,https://www.rarecarat.com/wedding-ring/170-Annabelle-Pave-Band/21798,Diamond,,SI1,G,0.9,White Gold,,14K,3.0 to 12.0,Ring,rarecarat
